Chemical compound	Metabolic activity	Microbial species or host cell type
Sulfur (Elemental sulfur)	Consumption (import)	Thiobacillus denitrificans
Sulfur (Elemental sulfur)	Consumption (import)	Thiomicrospira crunogena
Sulfur (Elemental sulfur)	Consumption (import)	Wolinella succinogenes
Sulfur (Elemental sulfur)	Consumption (import)	Xanthobacter autotrophicus
Taurine	Consumption (import)	Bilophila wadsworthia
Taurine	Consumption (import)	Colonocyte (host colon)
Taurochenodeoxycholate	Consumption (import)	Bacteroides fragilis
Taurochenodeoxycholate	Consumption (import)	Bacteroides vulgatus
Taurochenodeoxycholate	Consumption (import)	Bifidobacterium adolescentis
Taurochenodeoxycholate	Consumption (import)	Bifidobacterium animalis
Taurochenodeoxycholate	Consumption (import)	Bifidobacterium bifidum
Taurochenodeoxycholate	Consumption (import)	Bifidobacterium breve
Taurochenodeoxycholate	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Taurochenodeoxycholate	Consumption (import)	Bilophila wadsworthia
Taurochenodeoxycholate	Consumption (import)	Clostridium perfringens
Taurochenodeoxycholate	Production (export)	Hepatocyte (host liver)
Taurochenodeoxycholate	Consumption (import)	Lactobacillus acidophilus
Taurochenodeoxycholate	Consumption (import)	Lactobacillus brevis
Taurochenodeoxycholate	Consumption (import)	Lactobacillus buchneri
Taurochenodeoxycholate	Consumption (import)	Lactobacillus gasseri
Taurochenodeoxycholate	Consumption (import)	Lactobacillus hilgardii
Taurochenodeoxycholate	Consumption (import)	Lactobacillus johnsonii
Taurochenodeoxycholate	Consumption (import)	Lactobacillus plantarum
Taurochenodeoxycholate	Consumption (import)	Listeria monocytogenes
Taurocholate	Consumption (import)	Bacteroides fragilis
Taurocholate	Consumption (import)	Bacteroides vulgatus
Taurocholate	Consumption (import)	Bifidobacterium adolescentis
Taurocholate	Consumption (import)	Bifidobacterium animalis
Taurocholate	Consumption (import)	Bifidobacterium bifidum
Taurocholate	Consumption (import)	Bifidobacterium breve
Taurocholate	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Taurocholate	Consumption (import)	Bilophila wadsworthia
Taurocholate	Consumption (import)	Clostridium difficile
Taurocholate	Consumption (import)	Clostridium perfringens
Taurocholate	Production (export)	Hepatocyte (host liver)
Taurocholate	Consumption (import)	Lactobacillus acidophilus
Taurocholate	Consumption (import)	Lactobacillus brevis
Taurocholate	Consumption (import)	Lactobacillus buchneri
Taurocholate	Consumption (import)	Lactobacillus gasseri
Taurocholate	Consumption (import)	Lactobacillus hilgardii
Taurocholate	Consumption (import)	Lactobacillus johnsonii
Taurocholate	Consumption (import)	Lactobacillus plantarum
Taurocholate	Consumption (import)	Listeria monocytogenes
Taurodeoxycholate	Consumption (import)	Bacteroides fragilis
Taurodeoxycholate	Consumption (import)	Bacteroides vulgatus
Taurodeoxycholate	Consumption (import)	Bifidobacterium adolescentis
Taurodeoxycholate	Consumption (import)	Bifidobacterium animalis
Taurodeoxycholate	Consumption (import)	Bifidobacterium bifidum
Taurodeoxycholate	Consumption (import)	Bifidobacterium breve
Taurodeoxycholate	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Taurodeoxycholate	Consumption (import)	Bilophila wadsworthia
Taurodeoxycholate	Consumption (import)	Clostridium perfringens
Taurodeoxycholate	Consumption (import)	Lactobacillus acidophilus
Taurodeoxycholate	Consumption (import)	Lactobacillus brevis
Taurodeoxycholate	Consumption (import)	Lactobacillus buchneri
Taurodeoxycholate	Consumption (import)	Lactobacillus gasseri
Taurodeoxycholate	Consumption (import)	Lactobacillus hilgardii
Taurodeoxycholate	Consumption (import)	Lactobacillus johnsonii
Taurodeoxycholate	Consumption (import)	Lactobacillus plantarum
Taurodeoxycholate	Consumption (import)	Listeria monocytogenes
Taurolithocholate	Consumption (import)	Bifidobacterium adolescentis
Taurolithocholate	Consumption (import)	Bifidobacterium animalis
Taurolithocholate	Consumption (import)	Bifidobacterium bifidum
Taurolithocholate	Consumption (import)	Bifidobacterium breve
Taurolithocholate	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Taurolithocholate	Consumption (import)	Bilophila wadsworthia
Taurolithocholate	Consumption (import)	Clostridium perfringens
Taurolithocholate	Consumption (import)	Lactobacillus acidophilus
Taurolithocholate	Consumption (import)	Lactobacillus brevis
Taurolithocholate	Consumption (import)	Lactobacillus buchneri
Taurolithocholate	Consumption (import)	Lactobacillus gasseri
Taurolithocholate	Consumption (import)	Lactobacillus hilgardii
Taurolithocholate	Consumption (import)	Lactobacillus plantarum
Taurolithocholate	Consumption (import)	Listeria monocytogenes
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Bacillus subtilis
Thiamine (Vitamin B1, Thiamin)	Production (export)	Baumannia cicadellinicola
Thiamine (Vitamin B1, Thiamin)	Production (export)	Bifidobacterium bifidum
Thiamine (Vitamin B1, Thiamin)	Production (export)	Bifidobacterium breve
Thiamine (Vitamin B1, Thiamin)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Brucella abortus
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Brucella melitensis
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Brucella suis
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Clostridium beijerinckii
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Clostridium tetani
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Colonocyte (host colon)
Thiamine (Vitamin B1, Thiamin)	Consumption (import) & production (export)	Escherichia coli
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Lactobacillus casei
Thiamine (Vitamin B1, Thiamin)	Production (export)	Lactobacillus helveticus
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Lactococcus lactis
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Leuconostoc mesenteroides
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Listeria monocytogenes
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Neisseria gonorrhoeae
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Paenibacillus larvae
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Rhizobium leguminosarum
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Sodalis glossinidius
Thiamine (Vitamin B1, Thiamin)	Production (export)	Sphaerobacter thermophilus
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Staphylococcus aureus
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)
Thiamine (Vitamin B1, Thiamin)	Consumption (import)	Streptococcus salivarius
Thiamine (Vitamin B1, Thiamin)	Consumption (import) & production (export)	Streptococcus thermophilus
Thiamine (Vitamin B1, Thiamin)	Production (export)	Wigglesworthia glossinidia
Thiosulfate	Consumption (import)	Acidithiobacillus caldus
Thiosulfate	Consumption (import)	Bilophila wadsworthia
Thiosulfate	Consumption (import)	Colonocyte (host colon)
Thiosulfate	Consumption (import)	Escherichia coli
Thiosulfate	Consumption (import)	Pyramidobacter piscolens
Thiosulfate	Consumption (import)	Ruminococcus bromii
Thiosulfate	Consumption (import)	Syntrophobacter fumaroxidans
Thymidine	Consumption (import)	Anaerotruncus colihominis
Thymine	Consumption (import)	Colonocyte (host colon)
Toluene	Consumption (import)	Geobacter metallireducens
Trehalose	Consumption (import)	Aeromicrobium marinum
Trehalose	Consumption (import)	Anaerotruncus colihominis
Trehalose	Consumption (import)	Bacteroides ovatus
Trehalose	Consumption (import)	Bacteroides thetaiotaomicron
Trehalose	Consumption (import)	Bacteroides xylanisolvens
Trehalose	Consumption (import)	Bifidobacterium breve
Trehalose	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
Trehalose	Consumption (import)	Butyrivibrio fibrisolvens
Trehalose	Consumption (import)	Butyrivibrio proteoclasticus
Trehalose	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
Trehalose	Consumption (import)	Collinsella stercoris
Trehalose	Consumption (import)	Holdemania filiformis
Trehalose	Consumption (import)	Marvinbryantia formatexigens
Trehalose	Consumption (import)	Parabacteroides distasonis
Trehalose	Consumption (import)	Parabacteroides merdae
Trehalose	Consumption (import)	Pyrococcus furiosus
Trehalose	Consumption (import)	Shigella boydii
Trehalose	Consumption (import)	Subdoligranulum variabile
Trehalose	Consumption (import)	Sulfolobus solfataricus
Trehalose	Consumption (import)	Thermotoga maritima
Triglyceride	Macromolecule degradation	Acinetobacter calcoaceticus
Triglyceride	Macromolecule degradation	Acinetobacter radioresistens
Triglyceride	Macromolecule degradation	Bacillus licheniformis
Triglyceride	Macromolecule degradation	Bacillus megaterium
Triglyceride	Macromolecule degradation	Bacillus pumilus
Triglyceride	Macromolecule degradation	Bacillus subtilis
Triglyceride	Macromolecule degradation	Burkholderia ambifaria
Triglyceride	Macromolecule degradation	Burkholderia cenocepacia
Triglyceride	Macromolecule degradation	Burkholderia cepacia
Triglyceride	Macromolecule degradation	Burkholderia glumae
Triglyceride	Macromolecule degradation	Burkholderia multivorans
Triglyceride	Macromolecule degradation	Burkholderia vietnamiensis
Triglyceride	Macromolecule degradation	Clostridium botulinum
Triglyceride	Macromolecule degradation	Clostridium sporogenes
Triglyceride	Macromolecule degradation	Enterococcus faecalis (Streptococcus faecalis)
Triglyceride	Macromolecule degradation	Lactobacillus plantarum
Triglyceride	Macromolecule degradation	Micrococcus luteus
Triglyceride	Macromolecule degradation	Propionibacterium acnes
Triglyceride	Macromolecule degradation	Pseudomonas aeruginosa
Triglyceride	Macromolecule degradation	Pseudomonas fluorescens
Triglyceride	Macromolecule degradation	Pseudomonas mendocina
Triglyceride	Macromolecule degradation	Pseudomonas putida
Triglyceride	Macromolecule degradation	Ralstonia pickettii
Triglyceride	Macromolecule degradation	Staphylococcus aureus
Triglyceride	Macromolecule degradation	Thermus thermophilus
Trimethylamine	Consumption (import)	Acetohalobium arabaticum
Trimethylamine	Production (export)	Bacteroides thetaiotaomicron
Trimethylamine	Production (export)	Enterococcus faecalis (Streptococcus faecalis)
Trimethylamine	Production (export)	Escherichia coli
Trimethylamine	Production (export)	Faecalibacterium prausnitzii
Trimethylamine	Production (export)	Klebsiella pneumoniae
Trimethylamine	Consumption (import)	Methanohalophilus mahii
Trimethylamine	Consumption (import)	Methanosarcina acetivorans
Trimethylamine	Consumption (import)	Methanosarcina barkeri
Trimethylamine	Consumption (import)	Methanosarcina mazei
Trimethylamine	Consumption (import)	Methanosphaera stadtmanae
Trimethylamine	Production (export)	Pseudomonas aeruginosa
Trimethylamine	Production (export)	Staphylococcus aureus
Trimethylamine	Production (export)	Streptococcus parasanguinis
Trimethylamine	Production (export)	Streptococcus pneumoniae
Trimethylamine N-oxide (Trimethylamine-N-oxide)	Production (export)	Faecalibacterium prausnitzii
Tryptamine	Production (export)	Lactobacillus acidophilus
Tryptamine	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
Tyramine	Production (export)	Bacteroides ovatus
Tyramine	Production (export)	Bacteroides thetaiotaomicron
Tyramine	Production (export)	Enterococcus faecalis (Streptococcus faecalis)
Tyramine	Production (export)	Enterococcus faecium (Streptococcus faecium)
Tyramine	Consumption (import)	Klebsiella pneumoniae
Tyramine	Production (export)	Lactobacillus paracasei
Tyramine	Production (export)	Lactobacillus rhamnosus
Uracil	Consumption (import)	Colonocyte (host colon)
Urea	Consumption (import)	Anaerococcus hydrogenalis
Urea	Consumption (import)	Anaerococcus lactolyticus
Urea	Consumption (import)	Anaerococcus prevotii
Urea	Consumption (import)	Anaerococcus tetradius
Urea	Production (export)	Bacteroides thetaiotaomicron
Urea	Consumption (import)	Bifidobacterium adolescentis
Urea	Consumption (import)	Bifidobacterium angulatum
Urea	Consumption (import)	Bifidobacterium animalis
Urea	Consumption (import)	Bifidobacterium bifidum
Urea	Consumption (import)	Bifidobacterium breve
Urea	Consumption (import)	Bifidobacterium catenulatum
Urea	Consumption (import)	Bifidobacterium dentium
Urea	Consumption (import)	Bifidobacterium gallicum
Urea	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Urea	Consumption (import)	Bifidobacterium pseudocatenulatum
Urea	Consumption (import)	Clostridium acetobutylicum
Urea	Consumption (import)	Clostridium asparagiforme
Urea	Consumption (import)	Clostridium bartlettii
Urea	Consumption (import)	Clostridium beijerinckii
Urea	Consumption (import)	Clostridium bolteae
Urea	Consumption (import)	Clostridium botulinum
Urea	Consumption (import)	Clostridium butyricum
Urea	Consumption (import)	Clostridium carboxidivorans
Urea	Consumption (import)	Clostridium cellulolyticum
Urea	Consumption (import)	Clostridium cellulovorans
Urea	Consumption (import)	Clostridium cf
Urea	Consumption (import)	Clostridium difficile
Urea	Consumption (import)	Clostridium hathewayi
Urea	Consumption (import)	Clostridium hiranonis
Urea	Consumption (import)	Clostridium hylemonae
Urea	Consumption (import)	Clostridium kluyveri
Urea	Consumption (import)	Clostridium leptum
Urea	Consumption (import)	Clostridium ljungdahlii
Urea	Consumption (import)	Clostridium methylpentosum
Urea	Consumption (import)	Clostridium nexile
Urea	Consumption (import)	Clostridium novyi
Urea	Consumption (import)	Clostridium papyrosolvens
Urea	Consumption (import)	Clostridium perfringens
Urea	Consumption (import)	Clostridium phytofermentans
Urea	Consumption (import)	Clostridium saccharolyticum
Urea	Consumption (import)	Clostridium scindens
Urea	Consumption (import)	Clostridium sporogenes
Urea	Consumption (import)	Clostridium sticklandii
Urea	Consumption (import)	Clostridium symbiosum
Urea	Consumption (import)	Clostridium tetani
Urea	Consumption (import)	Clostridium thermocellum
Urea	Production (export)	Colonocyte (host colon)
Urea	Consumption (import)	Desulfovibrio piger
Urea	Consumption (import)	Helicobacter pylori
Urea	Consumption (import)	Klebsiella pneumoniae
Urea	Consumption (import)	Klebsiella variicola
Urea	Consumption (import)	Proteus mirabilis
Urea	Consumption (import)	Proteus penneri
Urea	Consumption (import)	Thermococcus kodakaraensis
Urea	Consumption (import)	Ureaplasma parvum
Urea	Consumption (import)	Ureaplasma urealyticum
Uridine	Consumption (import)	Anaerotruncus colihominis
Uridine	Consumption (import)	Colonocyte (host colon)
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Achromobacter piechaudii
Valerate (Pentanoic acid, Pentanoate)	Production (export)	Anaerostipes caccae
Valerate (Pentanoic acid, Pentanoate)	Production (export)	Bacteroides fragilis
Valerate (Pentanoic acid, Pentanoate)	Production (export)	Bacteroides thetaiotaomicron
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Butyrivibrio crossotus
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Butyrivibrio fibrisolvens
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Butyrivibrio proteoclasticus
Valerate (Pentanoic acid, Pentanoate)	Production (export)	Clostridium kluyveri
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Colonocyte (host colon)
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Desulfotomaculum acetoxidans
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Geobacter metallireducens
Valerate (Pentanoic acid, Pentanoate)	Production (export)	Megasphaera micronuciformis
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Syntrophobacter fumaroxidans
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Syntrophobotulus glycolicus
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Syntrophomonas wolfei
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Syntrophothermus lipocalidus
Valerate (Pentanoic acid, Pentanoate)	Consumption (import)	Syntrophus aciditrophicus
Xanthine	Consumption (import)	Colonocyte (host colon)
XOS (Xylooligosaccharide)	Consumption (import)	Anaerostipes caccae
XOS (Xylooligosaccharide)	Consumption (import)	Bacteroides fragilis
XOS (Xylooligosaccharide)	Consumption (import)	Bacteroides thetaiotaomicron
XOS (Xylooligosaccharide)	Consumption (import)	Bacteroides vulgatus
XOS (Xylooligosaccharide)	Consumption (import)	Bifidobacterium adolescentis
XOS (Xylooligosaccharide)	Consumption (import)	Bifidobacterium breve
XOS (Xylooligosaccharide)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
XOS (Xylooligosaccharide)	Consumption (import)	Eubacterium rectale
